asrv w15, w0, w30	0f28de1a	
rorv x0, x1, x2	202cc29a	
rorv w0, w1, w2	202cc21a	
rorv x5, x10, x19	452dd39a	
rorv w5, w10, w19	452dd31a	
rorv x28, x27, x26	7c2fda9a	
rorv w28, w27, w26	7c2fda1a	
rorv x15, x0, x30	0f2cde9a	
rorv w15, w0, w30	0f2cde1a	
adc x0, x1, x2	2000029a	
adc w0, w1, w2	2000021a	
adc x5, x10, x19	4501139a	
adc w5, w10, w19	4501131a	
adc x28, x27, x26	7c031a9a	
adc w28, w27, w26	7c031a1a	
adc x15, x0, x30	0f001e9a	
adc w15, w0, w30	0f001e1a	
sbc x0, x1, x2	200002da	
sbc w0, w1, w2	2000025a	
sbc x5, x10, x19	450113da	
sbc w5, w10, w19	4501135a	
sbc x28, x27, x26	7c031ada	
sbc w28, w27, w26	7c031a5a	
sbc x15, x0, x30	0f001eda	
sbc w15, w0, w30	0f001e5a	
adcs x0, x1, x2	200002ba	
adcs w0, w1, w2	2000023a	
adcs x5, x10, x19	450113ba	
adcs w5, w10, w19	4501133a	
adcs x28, x27, x26	7c031aba	
adcs w28, w27, w26	7c031a3a	
adcs x15, x0, x30	0f001eba	
adcs w15, w0, w30	0f001e3a	
sbcs x0, x1, x2	200002fa	
sbcs w0, w1, w2	2000027a	
sbcs x5, x10, x19	450113fa	
sbcs w5, w10, w19	4501137a	
sbcs x28, x27, x26	7c031afa	
sbcs w28, w27, w26	7c031a7a	
sbcs x15, x0, x30	0f001efa	
sbcs w15, w0, w30	0f001e7a	
add x0, x1, #0	20000091	
add w0, w1, #0	20000011	
add x0, x1, #1	20040091	
add w0, w1, #1	20040011	
add x0, x1, #42	20a80091	
add w0, w1, #42	20a80011	
add x0, x1, #4095	20fc3f91	
add w0, w1, #4095	20fc3f11	
add x0, x1, #1, lsl #12	20044091	
add x5, x19, #0	65020091	
add w5, w19, #0	65020011	
add x5, x19, #1	65060091	
add w5, w19, #1	65060011	
add x5, x19, #42	65aa0091	
add w5, w19, #42	65aa0011	
add x5, x19, #4095	65fe3f91	
add w5, w19, #4095	65fe3f11	
add x5, x19, #1, lsl #12	65064091	
add x28, x3, #0	7c000091	
add w28, w3, #0	7c000011	
add x28, x3, #1	7c040091	
add w28, w3, #1	7c040011	
add x28, x3, #42	7ca80091	
add w28, w3, #42	7ca80011	
add x28, x3, #4095	7cfc3f91	
add w28, w3, #4095	7cfc3f11	
add x28, x3, #1, lsl #12	7c044091	
add x15, x30, #0	cf030091	
add w15, w30, #0	cf030011	
add x15, x30, #1	cf070091	
add w15, w30, #1	cf070011	
add x15, x30, #42	cfab0091	
add w15, w30, #42	cfab0011	
add x15, x30, #4095	cfff3f91	
add w15, w30, #4095	cfff3f11	
add x15, x30, #1, lsl #12	cf074091	
sub x0, x1, #0	200000d1	
sub w0, w1, #0	20000051	
sub x0, x1, #1	200400d1	
sub w0, w1, #1	20040051	
sub x0, x1, #42	20a800d1	
sub w0, w1, #42	20a80051	
sub x0, x1, #4095	20fc3fd1	
sub w0, w1, #4095	20fc3f51	
sub x0, x1, #1, lsl #12	200440d1	
sub x5, x19, #0	650200d1	
sub w5, w19, #0	65020051	
sub x5, x19, #1	650600d1	
sub w5, w19, #1	65060051	
sub x5, x19, #42	65aa00d1	
sub w5, w19, #42	65aa0051	
sub x5, x19, #4095	65fe3fd1	
sub w5, w19, #4095	65fe3f51	
sub x5, x19, #1, lsl #12	650640d1	
sub x28, x3, #0	7c0000d1	
sub w28, w3, #0	7c000051	
sub x28, x3, #1	7c0400d1	
sub w28, w3, #1	7c040051	
sub x28, x3, #42	7ca800d1	
sub w28, w3, #42	7ca80051	
sub x28, x3, #4095	7cfc3fd1	
sub w28, w3, #4095	7cfc3f51	
sub x28, x3, #1, lsl #12	7c0440d1	
sub x15, x30, #0	cf0300d1	
sub w15, w30, #0	cf030051	
sub x15, x30, #1	cf0700d1	
sub w15, w30, #1	cf070051	
sub x15, x30, #42	cfab00d1	
sub w15, w30, #42	cfab0051	
sub x15, x30, #4095	cfff3fd1	
sub w15, w30, #4095	cfff3f51	
sub x15, x30, #1, lsl #12	cf0740d1	
adds x0, x1, #0	200000b1	
adds w0, w1, #0	20000031	
adds x0, x1, #1	200400b1	
adds w0, w1, #1	20040031	
adds x0, x1, #42	20a800b1	
adds w0, w1, #42	20a80031	
adds x0, x1, #4095	20fc3fb1	
adds w0, w1, #4095	20fc3f31	
adds x0, x1, #1, lsl #12	200440b1	
adds x5, x19, #0	650200b1	
adds w5, w19, #0	65020031	
adds x5, x19, #1	650600b1	
adds w5, w19, #1	65060031	
adds x5, x19, #42	65aa00b1	
adds w5, w19, #42	65aa0031	
adds x5, x19, #4095	65fe3fb1	
adds w5, w19, #4095	65fe3f31	
adds x5, x19, #1, lsl #12	650640b1	
adds x28, x3, #0	7c0000b1	
adds w28, w3, #0	7c000031	
adds x28, x3, #1	7c0400b1	
adds w28, w3, #1	7c040031	
adds x28, x3, #42	7ca800b1	
adds w28, w3, #42	7ca80031	
adds x28, x3, #4095	7cfc3fb1	
adds w28, w3, #4095	7cfc3f31	
adds x28, x3, #1, lsl #12	7c0440b1	
adds x15, x30, #0	cf0300b1	
adds w15, w30, #0	cf030031	
adds x15, x30, #1	cf0700b1	
adds w15, w30, #1	cf070031	
adds x15, x30, #42	cfab00b1	
adds w15, w30, #42	cfab0031	
adds x15, x30, #4095	cfff3fb1	
adds w15, w30, #4095	cfff3f31	
adds x15, x30, #1, lsl #12	cf0740b1	
subs x0, x1, #0	200000f1	
subs w0, w1, #0	20000071	
subs x0, x1, #1	200400f1	
subs w0, w1, #1	20040071	
subs x0, x1, #42	20a800f1	
subs w0, w1, #42	20a80071	
subs x0, x1, #4095	20fc3ff1	
subs w0, w1, #4095	20fc3f71	
subs x0, x1, #1, lsl #12	200440f1	
subs x5, x19, #0	650200f1	
subs w5, w19, #0	65020071	
subs x5, x19, #1	650600f1	
subs w5, w19, #1	65060071	
subs x5, x19, #42	65aa00f1	
subs w5, w19, #42	65aa0071	
subs x5, x19, #4095	65fe3ff1	
subs w5, w19, #4095	65fe3f71	
subs x5, x19, #1, lsl #12	650640f1	
subs x28, x3, #0	7c0000f1	
subs w28, w3, #0	7c000071	
subs x28, x3, #1	7c0400f1	
subs w28, w3, #1	7c040071	
subs x28, x3, #42	7ca800f1	
subs w28, w3, #42	7ca80071	
subs x28, x3, #4095	7cfc3ff1	
subs w28, w3, #4095	7cfc3f71	
subs x28, x3, #1, lsl #12	7c0440f1	
subs x15, x30, #0	cf0300f1	
subs w15, w30, #0	cf030071	
subs x15, x30, #1	cf0700f1	
subs w15, w30, #1	cf070071	
subs x15, x30, #42	cfab00f1	
subs w15, w30, #42	cfab0071	
subs x15, x30, #4095	cfff3ff1	
subs w15, w30, #4095	cfff3f71	
subs x15, x30, #1, lsl #12	cf0740f1	
and x0, x1, #0xff	201c4092	
and x0, x1, #0xf	200c4092	
and x0, x1, #0x1	20004092	
and x0, x1, #0xfff	202c4092	
and x0, x1, #0x5555555555555555	20f00092	
and x0, x1, #0xffff0000	203c7092	
and w0, w1, #0xff	201c0012	
and w0, w1, #0xf	200c0012	
and w0, w1, #0x1	20000012	
and w0, w1, #0xf0f0f0f0	20cc0412	
orr x0, x1, #0xff	201c40b2	
orr x0, x1, #0xf	200c40b2	
orr x0, x1, #0x1	200040b2	
